comment,hour,pos,neg
부부 2부 개지루,2020-07-25 22:2,0,1
종이비행기는 아니지 않냐,2020-07-25 22:2,0,0
여기에디오오빠가왜나오죠?디오오빠는출연안했는데,2020-07-17 15:3,0,0
저도 같은 생각이었어요 디오 연기 볼 때마다 아이돌 맞아? 라고 놀랄 때가 많았는데 혜윤씨랑 하면 매 회 두 사람 연기력 폭발하겠죠?,2020-06-25 11:2,0,0
설강화 김혜윤 출연 확정되면 상대배우 도경수가 하면 완전 대박날것 같은데. 둘다 연기 진짜 존잘 ㅠㅠㅠ 아쉽다 군대 가있어서.,2020-06-25 11:0,1,1
부세 말하는 으르신들 아직 영구치로 만들어 드릴테니 그냥 가세요,2020-06-23 22:3,0,0
부부의 세계 거론하는것들 아갈머리를,2020-06-20 02:0,0,0
"스카이 캐슬  발표공개 하자마자  무책임 숨겨 버린 책임 지길...진심과 진실을  알고 있는 모든것과 집안걸고,.",2020-06-19 23:3,1,1
셤공부 안하고 스캐 정주행즁 ~~^~^,2020-06-17 10:4,1,0
ham님은...안다니는데 없네...ㅋㅋㅋ.관계자신가??,2020-06-14 02:5,0,0
작가가 누구신지  탄탄한 구성력에배우들 연기 너무 좋네요,2020-06-13 00:2,0,0
뭐뉴,2020-06-11 13:1,0,0
비교질 하는 수준 딩초냐,2020-06-11 01:2,0,0
한국 사회의 교육 현실을 적나라하게 보여주어서 너무 재밌어요,2020-06-08 21:2,0,0
와...재밌네..몰아보기 했는데  멈출수가  없었음!최고 !,2020-06-06 00:4,1,0
오늘 정주행 끝 ! 재밌었다,2020-06-05 18:0,1,0
예서가 제일 불쌍하다,2020-06-01 20:2,0,1
혜나 죽고 더 노잼...,2020-05-31 09:2,0,1
웃긴게 어른들이 더 싸움,2020-05-31 09:2,0,1
앞으로 스포하는놈들 아갈머리를 확 찢어버릴라,2020-05-30 22:2,0,1
그냥 갑자기 생각나서 와보니 토크가 있더구나,2020-05-30 03:4,0,0
부세보는 아지메들이 와서 시청률 뛰어넘었다.. 이렇게 다니심ㅋㅋ 요즘 들마 톡방에도 그런사람들 보여요;,2020-05-23 18:4,1,0
교도소 셋탑박스 맘카 공격 계속 합니다,2020-05-22 19:1,0,0
왜이렇게 부부의 세계랑 비교질 하는거임?,2020-05-20 19:1,0,0
밑에 부부의 세계 명대사 없으시다는 분... 부부의 세계와 사랑에 빠진게 죄는 아니잖아! Sky캐슬 재밌니?,2020-05-19 07:5,1,1
스카이 캐슬 부부의 세계 둘 다 다른 장르인데 욀캐 비교하는 거지... 이거는 이거대로 재밌고 부부의 세계는 그거대로 재밌는 건디,2020-05-19 07:5,1,0
스캐 본방으로 볼때도 톡방 엄청나게 활발하고 재밌었는데 부부의 세계는 진짜 얼마나 대단한겨 ㄷㄷ 대박,2020-05-19 07:4,2,0
스캐는 톡수는 적구낭,2020-05-18 03:3,0,0
오...톡방이 아직도 있네,2020-05-18 02:0,0,0
결말만 좀 더 탄탄했어도 명작이었을텐데,2020-05-18 01:3,0,0
구르미가 톡 300만 넘는다,2020-05-17 01:1,0,0
부세 결말 풉ㅋ,2020-05-17 00:3,0,0
부세가 더 재미있어요,2020-05-17 00:0,0,0
1년전거긴 하지만 와......이거 진짜 갓띵작ㅠ,2020-05-16 23:5,0,1
스캐넘 꿀잼이요ㅠㅠ오늘 몰아보기 했는데명장그자체네요ㅠ^ㅠ,2020-05-16 23:5,0,2
솔직히 스캐가 더 잘 만든듯,2020-05-16 15:5,1,0
스캐 ㄹㅈㄷ인데 부세 한테 뺏겼네요,2020-05-14 14:1,0,0
부세보다 톡수 많은데 있어요 ㅎ,2020-05-10 13:0,0,0
ㅋㅋㅋㅋ 뭘 그렇게 잘났다구,2020-05-10 13:0,0,0
애초에 톡수가 쨉도 안되네..부세 200만 돌파 ㄹㅈㄷ,2020-05-10 12:2,0,0
너무 짜증나고ㅈ같으면 연기잘하는거겟지..?,2020-05-06 02:3,1,0
정주행하고있는데 김혜나 개빡친다 ㄹㅇ,2020-05-06 02:3,1,0
부부의 세계가 스캐를 뛰어넘다...,2020-05-04 02:1,1,0
WANDS야 댓 싹다 삭제 해라 ㅋ,2020-05-03 20:3,0,1
WANDS는 관심이 필요합니다 관심을 주세요~~,2020-05-03 20:3,0,0
그토록 굳건히 악플달던애가 내 닉넴까지 언급하면서 부들대는거보니까 기분 개좋네 ㅋㅋㅋㅋㅋㅋㅋㅋ 수준 딱보인다 댓글로는 n번방이네 일베네 이러면서 반격 잘한거마냥 히죽대지만 현실에선 개 부들거리면서 주먹으로 벽치다가 손 골절되서 깁스하고 즙짜고있을듯 ㅠㅠ 화이팅!!,2020-05-03 20:3,2,0
세상에 뭔 저런애가 있냐 ㅋㅋㅋㅋ,2020-05-03 20:3,0,0
나는야 장애 그자체~~ 답글로 부들부들 대지요~~,2020-05-03 20:3,0,1
엄마아빠 미안 ㅠㅠ 나 맨날 악플달고살아 엄마아빠도 이런 내가 자랑스럽지? 히히,2020-05-03 20:3,0,0
저는 부모없는 호구입니다^^ 690님 짱짱 존경해요 욕한거 정말죄송합니다 히힛 부부의세계 망해랑,2020-05-03 20:3,2,2
