comment,date,page,timestamp(min),hour
부부 2부 개지루,2020-07-25 22:29:33,1,776046.1166666667,2020-07-25 22:2
종이비행기는 아니지 않냐,2020-07-25 22:28:46,1,776045.3333333334,2020-07-25 22:2
여기에디오오빠가왜나오죠?디오오빠는출연안했는데,2020-07-17 15:39:44,1,764116.3,2020-07-17 15:3
저도 같은 생각이었어요 디오 연기 볼 때마다 아이돌 맞아? 라고 놀랄 때가 많았는데 혜윤씨랑 하면 매 회 두 사람 연기력 폭발하겠죠?,2020-06-25 11:24:58,1,732181.5333333333,2020-06-25 11:2
설강화 김혜윤 출연 확정되면 상대배우 도경수가 하면 완전 대박날것 같은데. 둘다 연기 진짜 존잘 ㅠㅠㅠ 아쉽다 군대 가있어서.,2020-06-25 11:07:58,1,732164.5333333333,2020-06-25 11:0
부세 말하는 으르신들 아직 영구치로 만들어 드릴테니 그냥 가세요,2020-06-23 22:31:27,1,729968.0166666667,2020-06-23 22:3
부부의 세계 거론하는것들 아갈머리를,2020-06-20 02:07:51,1,724424.4166666666,2020-06-20 02:0
"스카이 캐슬  발표공개 하자마자  무책임 숨겨 버린 책임 지길...진심과 진실을  알고 있는 모든것과 집안걸고,.",2020-06-19 23:30:04,1,724266.6333333333,2020-06-19 23:3
셤공부 안하고 스캐 정주행즁 ~~^~^,2020-06-17 10:41:55,1,720618.4833333333,2020-06-17 10:4
ham님은...안다니는데 없네...ㅋㅋㅋ.관계자신가??,2020-06-14 02:57:08,1,715833.7,2020-06-14 02:5
작가가 누구신지  탄탄한 구성력에배우들 연기 너무 좋네요,2020-06-13 00:26:18,1,714242.8666666667,2020-06-13 00:2
뭐뉴,2020-06-11 13:15:11,1,712131.75,2020-06-11 13:1
비교질 하는 수준 딩초냐,2020-06-11 01:28:35,1,711425.15,2020-06-11 01:2
한국 사회의 교육 현실을 적나라하게 보여주어서 너무 재밌어요,2020-06-08 21:20:14,1,708296.8,2020-06-08 21:2
와...재밌네..몰아보기 했는데  멈출수가  없었음!최고 !,2020-06-06 00:42:11,1,704178.75,2020-06-06 00:4
오늘 정주행 끝 ! 재밌었다,2020-06-05 18:09:52,1,703786.4333333333,2020-06-05 18:0
예서가 제일 불쌍하다,2020-06-01 20:20:47,1,698157.35,2020-06-01 20:2
혜나 죽고 더 노잼...,2020-05-31 09:23:48,1,696060.3666666667,2020-05-31 09:2
웃긴게 어른들이 더 싸움,2020-05-31 09:23:26,1,696060.0,2020-05-31 09:2
앞으로 스포하는놈들 아갈머리를 확 찢어버릴라,2020-05-30 22:21:47,1,695398.35,2020-05-30 22:2
그냥 갑자기 생각나서 와보니 토크가 있더구나,2020-05-30 03:40:04,2,694276.6333333333,2020-05-30 03:4
부세보는 아지메들이 와서 시청률 뛰어넘었다.. 이렇게 다니심ㅋㅋ 요즘 들마 톡방에도 그런사람들 보여요;,2020-05-23 18:40:44,2,685097.3,2020-05-23 18:4
교도소 셋탑박스 맘카 공격 계속 합니다,2020-05-22 19:16:00,2,683692.5666666667,2020-05-22 19:1
왜이렇게 부부의 세계랑 비교질 하는거임?,2020-05-20 19:17:10,2,680813.7333333333,2020-05-20 19:1
밑에 부부의 세계 명대사 없으시다는 분... 부부의 세계와 사랑에 빠진게 죄는 아니잖아! Sky캐슬 재밌니?,2020-05-19 07:54:04,2,678690.6333333333,2020-05-19 07:5
스카이 캐슬 부부의 세계 둘 다 다른 장르인데 욀캐 비교하는 거지... 이거는 이거대로 재밌고 부부의 세계는 그거대로 재밌는 건디,2020-05-19 07:50:54,2,678687.4666666667,2020-05-19 07:5
스캐 본방으로 볼때도 톡방 엄청나게 활발하고 재밌었는데 부부의 세계는 진짜 얼마나 대단한겨 ㄷㄷ 대박,2020-05-19 07:49:44,2,678686.3,2020-05-19 07:4
